Freq (GHz),Effective Dk (1),Effective Dk std (1),Losses (dB/mm),Losses std (dB/mm)
32.0,2.3646281722280853,0.008111207004258448,0.03085355017733889,0.0003573372596698966
32.5,2.365104222294966,0.00811072033192595,0.03127987270358965,0.00033639858529369476
33.0,2.3655317925179395,0.008111527786549687,0.03172825231369051,0.0003388416698526589
33.5,2.365755208328453,0.008112104052605994,0.032284939497918136,0.00034514130810855173
34.0,2.366051741802,0.008113642779501959,0.03251201478956447,0.0003571658947753211
34.5,2.3664619397188393,0.008113594419124218,0.03284345321106107,0.0003621329142281783
35.0,2.366957870806765,0.00811519177148417,0.03349245031193702,0.00037317286923240975
35.5,2.367551248027941,0.008116581367237887,0.03400091952034685,0.00038610179291728535
36.0,2.3678936237174963,0.008118773756668958,0.034856098357173744,0.0004005780203609795
36.5,2.3682533912176202,0.008118606068466804,0.03509549532328464,0.00039860689614992073
37.0,2.3684659272458415,0.008119094238123908,0.035610023145318394,0.0004021095907231484
37.5,2.368759282691223,0.008119524053002904,0.035768317919079716,0.0004025287529684075
38.0,2.369219338329085,0.008121616816560883,0.03550443063754414,0.00041097660108092013
38.5,2.369923571698216,0.008124020030380904,0.03578022324143763,0.0004139703650290383
39.0,2.370710887087751,0.008125757042807422,0.03614996146074004,0.0004055051960358955
39.5,2.3712904471649896,0.00813179135160595,0.03690279168341947,0.0004263554498858237
40.0,2.371740170405827,0.008137743933779083,0.03801677342107575,0.00044688273084649244
40.5,2.3721383834056677,0.008142810279607763,0.03841242261959885,0.00046617561428367047
41.0,2.3724103306751223,0.008146418684814818,0.039170335963245054,0.00047680576917351716
41.5,2.372883190239686,0.008146395596021844,0.03955380509481458,0.0004660043423673207
42.0,2.3733800743287845,0.00814501185667638,0.04014981000451881,0.0004390555935857966
42.5,2.3739862880860856,0.00814536985171559,0.04066631194588818,0.00041695119813860983
43.0,2.374605651501323,0.008142673523610726,0.04098637674328187,0.00037504252328507105
43.5,2.3751317516554047,0.008146703971104844,0.04177415073967515,0.00036841093612414034
44.0,2.3757260273970835,0.008149696352593131,0.042611177392138086,0.00036089534868140815
44.5,2.3762203048080166,0.008153740876728446,0.0432325919937012,0.00036431444452021715
45.0,2.376774206382693,0.008157502171408102,0.04410224147613024,0.0003730104216171733
45.5,2.377323591564665,0.008158375307466641,0.04489900377478287,0.0003781739804468153
46.0,2.3778269338384512,0.008157547654458646,0.04575876565323654,0.00037879719573132573
46.5,2.3782995257622765,0.008157769996314606,0.04621861881442559,0.0003853698226361797
47.0,2.378834074493569,0.008155480899817597,0.04678438204616254,0.00038520469292978386
47.5,2.3793336088373693,0.00815928953806632,0.0471656036411952,0.0004081864618295664
48.0,2.3800071781159913,0.008162115981087757,0.04769831569927692,0.00042988612381157144
48.5,2.3806906214467403,0.008166836776885634,0.04843874579965729,0.0004538466745757047
49.0,2.381404210326582,0.008171017584348267,0.04963211876471299,0.0004763766458077092
49.5,2.382035190074046,0.008172746820598632,0.05080397939472955,0.0004857540182228553
50.0,2.382604677501388,0.008172401264885087,0.05210781119138829,0.00048689595417817575
50.5,2.3832070428190386,0.00817234920069164,0.053270877151611155,0.0004957055470234526
51.0,2.3837441831720625,0.008170704399427466,0.054527986838435044,0.0004766734620268211
51.5,2.3843385332229703,0.008174093842692931,0.055589710640981005,0.0005058486906405138
52.0,2.3849350815225314,0.00817672763389041,0.05616038266266167,0.0005280544476358692
52.5,2.385515787291481,0.008208534111714082,0.05708076489425819,0.0009412661646913378
53.0,2.38610114762853,0.008208800182943747,0.057888962302394126,0.0009681997966916223
53.5,2.3865774588372535,0.008301350791773585,0.058749445072956444,0.0016860481761142292
54.0,2.3870943116515018,0.008433632158443916,0.059737712058414605,0.002439795749789471
54.5,2.387793306393595,0.008561841379066562,0.060940171776616064,0.0029956878723209606
55.0,2.3883750658749596,0.008633893331274234,0.062357113783063245,0.003290539303709901
55.5,2.3891881713623815,0.008643907723313972,0.06351982247521067,0.003320808061200769
56.0,2.389882434564198,0.008635616850699003,0.06402152666333533,0.0031858182116314806
56.5,2.3906434286461793,0.008681321130527454,0.06485842149587957,0.003226781595799875
57.0,2.391335863027302,0.008681765607717098,0.06550808412028727,0.0031669905138000196
57.50000000000001,2.392040198160366,0.00867804399499077,0.06667536032432515,0.003155440911481887
58.00000000000001,2.3927939743501603,0.008634860995143366,0.06767578497833583,0.003127988076057549
58.50000000000001,2.3934995167158335,0.008623139512551998,0.06900954698797808,0.003077411548486199
59.00000000000001,2.394369885818743,0.008613740096864678,0.0699064841237852,0.0030069211300030488
59.50000000000001,2.3951920246386225,0.008664503279987107,0.07082140712816389,0.003025721468179465
60.00000000000001,2.3959439664931077,0.008707808053550677,0.07182570724153638,0.003082193989284536
